파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
세종특별자치시교육청_공립_초등_결산_세입_2024.csv,91172192640,473602490,12030909790,0,713077865,579214573,초등
세종특별자치시교육청_공립_중등_결산_세입_2024.csv,38740981800,138872730,3619629360,0,303959297,268686739,중등
세종특별자치시교육청_공립_초등_결산_세입_2023.csv,67712692030,382547070,10408742750,0,378528146,645114600,초등
세종특별자치시교육청_공립_초등_결산_세입_2022.csv,58312854340,347100330,7765097820,0,218624904,1205371179,초등
세종특별자치시교육청_공립_중등_결산_세입_2022.csv,27777496990,123075990,1374273300,0,153262215,467234452,중등
세종특별자치시교육청_공립_중등_결산_세입_2023.csv,32504054640,143011350,2054830520,0,221514548,273554786,중등
세종특별자치시교육청_공립_고등_결산_세입_2024.csv,43472454550,288628416,7776475390,0,440626096,352370437,고등
세종특별자치시교육청_공립_고등_결산_세입_2022.csv,29730963830,346940456,5120376070,0,198078781,680220202,고등
세종특별자치시교육청_공립_고등_결산_세입_2023.csv,39075279780,281704885,5597227770,0,310607917,389479850,고등
초등_합계,217197739010,1203249890,30204750360,0,1310230915,2429700352,초등
중등_합계,99022533430,404960070,7048733180,0,678736060,1009475977,중등
고등_합계,112278698160,917273757,18494079230,0,949312794,1422070489,고등
2024_합계,173385628990,901103636,23427014540,0,1457663258,1200271749,전체
2023_합계,139292026450,807263305,18060801040,0,910650611,1308149236,전체
2022_합계,115821315160,817116776,14259747190,0,569965900,2352825833,전체
