파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
울산광역시교육청_공립_초등_예산_세출_2022.csv,16396631.147540983,412206524.59016395,167519040.98360655,281302762.295082,70711803.27868852,224522508.19672132,1124262.2950819673,3950057.37704918,3310177.2099173553,초등
울산광역시교육청_공립_초등_예산_세출_2023.csv,24005672.13114754,422266172.13114756,177258065.5737705,278850442.6229508,72735868.85245901,242214934.4262295,1835737.7049180327,3956762.295081967,3536565.9421487604,초등
울산광역시교육청_공립_초등_예산_세출_2024.csv,24417680.327868853,470869959.0163934,169529901.63934427,275170508.1967213,82489385.24590164,289517622.9508197,894508.1967213114,3748163.9344262294,4097493.459504133,초등
울산광역시교육청_공립_고등_예산_세출_2022.csv,16918888.888888888,631875422.2222222,297240377.7777778,73205777.77777778,89245755.55555555,317275777.7777778,6035555.555555556,7266711.111111111,3300035.69111111,고등
울산광역시교육청_공립_고등_예산_세출_2023.csv,23340955.555555556,634320200.0,300131400.0,93690133.33333333,97885955.55555555,352530133.3333333,942222.2222222222,7372088.888888889,3363959.644444444,고등
울산광역시교육청_공립_고등_예산_세출_2024.csv,23559644.444444444,716311200.0,382445244.4444444,63484244.44444445,103446000.0,383428244.4444444,9435400.0,5735088.888888889,3745694.7488888893,고등
울산광역시교육청_공립_중등_예산_세출_2023.csv,17625741.93548387,431616354.83870965,187962709.67741936,54255612.90322581,62964693.548387095,215928903.22580644,1927741.935483871,2766516.129032258,2395250.419672131,중등
울산광역시교육청_공립_중등_예산_세출_2022.csv,13220645.161290323,409418161.2903226,170110435.48387095,55797338.70967742,55693806.451612905,204729403.22580644,645161.2903225806,2801048.3870967743,2143616.7836065576,중등
울산광역시교육청_공립_중등_예산_세출_2024.csv,17189403.225806452,471533193.5483871,185293419.3548387,56760903.22580645,71985306.4516129,240959241.93548387,929032.2580645161,2299758.064516129,2664785.9688524595,중등
초등_평균,21606661.20218579,435114218.579235,171435669.3989071,278441237.704918,75312352.4590164,252085021.8579235,1284836.0655737706,3884994.5355191254,3648078.870523416,초등
고등_평균,21273162.962962966,660835607.4074074,326605674.0740741,76793385.18518518,96859237.03703703,351078051.8518519,5471059.259259259,6791296.296296296,3469896.6948148147,고등
중등_평균,16011930.107526882,437522569.89247316,181122188.172043,55604618.279569894,63547935.48387096,220539182.7956989,1167311.8279569892,2622440.8602150534,2401217.724043716,중등
