파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
전라남도교육청_공립_초등_결산_세출_2024.csv,10979400420.0,110662789544.0,93680313763.0,124316660888.0,97264360277.0,68067415218.0,7034865810.0,8041378110.0,6810095562.9,초등
전라남도교육청_공립_중등_결산_세출_2022.csv,4955470050.0,48862821591.0,28099613435.0,16091052350.0,37992362378.0,31970941829.0,3747119520.0,3605539770.0,2359637468.1,중등
전라남도교육청_공립_중등_결산_세출_2023.csv,4990712370.0,51554059952.0,36956386779.0,16795092839.0,35672260424.0,33691506867.0,3226293580.0,2817556940.0,2440721238.3999996,중등
전라남도교육청_공립_초등_결산_세출_2022.csv,9080177810.0,99228820004.0,76601998649.0,94132478149.0,85111202336.0,58367907440.0,5744420290.0,7325733680.0,5023107208.5,초등
전라남도교육청_공립_초등_결산_세출_2023.csv,9961247598.0,108149812620.0,88558010319.0,102085024949.0,87924373064.0,61573468368.0,4803701920.0,6071028830.0,5548248253.5,초등
전라남도교육청_공립_중등_결산_세출_2024.csv,5397292050.0,54590963776.0,41768509425.0,19361745297.0,40454759681.0,37118859214.0,2849450730.0,2721522050.0,3032617458.6000004,중등
전라남도교육청_공립_고등_결산_세출_2024.csv,4326586892.0,81745155949.0,47767829475.0,27514847090.0,49457299254.0,33715533347.0,13147249850.0,5661114200.0,1334093272.3000002,고등
전라남도교육청_공립_고등_결산_세출_2023.csv,4115880810.0,79594212980.0,41918259083.0,26562674187.0,45806443319.0,30969235411.0,9577250870.0,5979677270.0,1279603574.3000002,고등
전라남도교육청_공립_고등_결산_세출_2022.csv,4118843110.0,79990798565.0,34101880719.0,23601458070.0,48025144160.0,28185499837.0,11224511980.0,6905909350.0,1206174785.9,고등
초등_합계,30020825828.0,318041422168.0,258840322731.0,320534163986.0,270299935677.0,188008791026.0,17582988020.0,21438140620.0,17381451024.9,초등
중등_합계,15343474470.0,155007845319.0,106824509639.0,52247890486.0,114119382483.0,102781307910.0,9822863830.0,9144618760.0,7832976165.1,중등
고등_합계,12561310812.0,241330167494.0,123787969277.0,77678979347.0,143288886733.0,92870268595.0,33949012700.0,18546700820.0,3819871632.5000005,고등
2024_합계,20703279362.0,246998909269.0,183216652663.0,171193253275.0,187176419212.0,138901807779.0,23031566390.0,16424014360.0,11176806293.8,전체
2022_합계,18154490970.0,228082440160.0,138803492803.0,133824988569.0,171128708874.0,118524349106.0,20716051790.0,17837182800.0,8588919462.5,전체
2023_합계,19067840778.0,239298085552.0,167432656181.0,145442791975.0,169403076807.0,126234210646.0,17607246370.0,14868263040.0,9268573066.2,전체
