파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
전라남도교육청_공립_고등_예산_세입_2024.csv,1064047707.0707071,15629181.818181818,206340949.4949495,0.0,11929878.787878787,12136949.494949495,고등
전라남도교육청_공립_고등_예산_세입_2022.csv,1001417850.0,12844600.0,206429350.0,0.0,8130250.0,11001520.0,고등
전라남도교육청_공립_고등_예산_세입_2023.csv,1156527282.8282828,15537565.656565657,204453181.8181818,0.0,9392191.91919192,12114525.252525253,고등
전라남도교육청_공립_중등_예산_세입_2022.csv,404678832.57918555,204212.66968325793,40240262.44343892,0.0,1843058.8235294118,4326180.995475113,중등
전라남도교육청_공립_중등_예산_세입_2023.csv,475465036.3636364,454731.8181818182,39125390.90909091,0.0,2642763.6363636362,4402809.090909091,중등
전라남도교육청_공립_중등_예산_세입_2024.csv,491884239.81900454,315389.14027149323,40512619.90950226,0.0,3730764.705882353,4401638.009049774,중등
전라남도교육청_공립_초등_예산_세입_2024.csv,519727519.1011236,5442570.786516854,66514856.17977528,0.0,4370817.97752809,4745559.550561798,초등
전라남도교육청_공립_초등_예산_세입_2022.csv,443649440.97995543,4512648.106904232,64713984.40979955,0.0,2345204.899777283,4310200.445434298,초등
전라남도교육청_공립_초등_예산_세입_2023.csv,533322816.96428573,5020218.75,63992348.21428572,0.0,3054417.410714286,4601506.696428572,초등
고등_평균,1073997613.2996633,14670449.15824916,205741160.43771043,0.0,9817440.235690236,11750998.24915825,고등
중등_평균,457342702.9206088,324777.87604552315,39959424.420677364,0.0,2738862.3885918004,4376876.031811326,중등
초등_평균,498899925.68178827,4991812.5478070285,65073729.60128685,0.0,3256813.429339886,4552422.230808222,초등
