파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
전라남도교육청_공립_중등_예산_세출_2024.csv,5070493000.0,42691742000.0,21594470000.0,3764894000.0,15325758000.0,29443691000.0,1121891000.0,513729000.0,1823687143.4,중등
전라남도교육청_공립_중등_예산_세출_2023.csv,5128477000.0,38227381000.0,20392029000.0,4502505000.0,16554271000.0,28744913000.0,728686000.0,581699000.0,1812026035.4,중등
전라남도교육청_공립_중등_예산_세출_2022.csv,4858238000.0,32582040000.0,15963091000.0,4689430000.0,13505273000.0,27297095000.0,213110000.0,627376000.0,1554069427.8000002,중등
전라남도교육청_공립_고등_예산_세출_2023.csv,3716647000.0,66696131000.0,18203695000.0,4643687000.0,13687503000.0,27514367000.0,3339257000.0,603163000.0,703995694.6,고등
전라남도교육청_공립_고등_예산_세출_2022.csv,3587696000.0,59913012000.0,14089991000.0,5250583000.0,13738165000.0,26267125000.0,562465000.0,573320000.0,674408068.9999999,고등
전라남도교육청_공립_고등_예산_세출_2024.csv,3863250000.0,53588458000.0,19105161000.0,4808642000.0,13697657000.0,29061853000.0,5139446000.0,433915000.0,708978627.7000002,고등
전라남도교육청_공립_초등_예산_세출_2023.csv,10542762000.0,84279107000.0,42093595000.0,42719226000.0,34113501000.0,57148974000.0,977471000.0,1401470000.0,3407825554.0,초등
전라남도교육청_공립_초등_예산_세출_2022.csv,9975163000.0,69092592000.0,38319494000.0,30464430000.0,28765390000.0,54823900000.0,293510000.0,1535155000.0,2818358533.9,초등
전라남도교육청_공립_초등_예산_세출_2024.csv,10906252000.0,91146743000.0,43197824000.0,26748259000.0,32786553000.0,59323864000.0,2048808000.0,1198286000.0,3625317686.2,초등
중등_합계,15057208000.0,113501163000.0,57949590000.0,12956829000.0,45385302000.0,85485699000.0,2063687000.0,1722804000.0,5189782606.6,중등
고등_합계,11167593000.0,180197601000.0,51398847000.0,14702912000.0,41123325000.0,82843345000.0,9041168000.0,1610398000.0,2087382391.3000002,고등
초등_합계,31424177000.0,244518442000.0,123610913000.0,99931915000.0,95665444000.0,171296738000.0,3319789000.0,4134911000.0,9851501774.099998,초등
2024_합계,19839995000.0,187426943000.0,83897455000.0,35321795000.0,61809968000.0,117829408000.0,8310145000.0,2145930000.0,6157983457.3,전체
2023_합계,19387886000.0,189202619000.0,80689319000.0,51865418000.0,64355275000.0,113408254000.0,5045414000.0,2586332000.0,5923847284.0,전체
2022_합계,18421097000.0,161587644000.0,68372576000.0,40404443000.0,56008828000.0,108388120000.0,1069085000.0,2735851000.0,5046836030.700001,전체
