파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급
전북특별자치도교육청_공립_초등_결산_세입_2023.csv,889934306.0191847,10487003.669064749,89170772.1438849,0.0,3251461.5491606714,8894131.788968826,초등
전북특별자치도교육청_공립_초등_결산_세입_2022.csv,815392043.9047619,10819385.238095239,77388639.51666667,0.0,2149060.526190476,21670780.102380954,초등
전북특별자치도교육청_공립_초등_결산_세입_2024.csv,925697271.3012048,12869179.662650602,88629172.13012049,0.0,5256767.925301204,7747906.614457832,초등
전북특별자치도교육청_공립_중등_결산_세입_2024.csv,906051050.0,4852096.3125,40424478.625,0.0,6150441.9625,7965013.0375,중등
전북특별자치도교육청_공립_고등_결산_세입_2022.csv,1818829290.4615386,37905582.49230769,165755493.23076922,0.0,14995200.123076923,107867908.26153846,고등
전북특별자치도교육청_공립_고등_결산_세입_2023.csv,1982380613.3846154,33655822.0,172144586.12307692,0.0,19140368.861538462,98444311.90769231,고등
전북특별자치도교육청_공립_중등_결산_세입_2022.csv,733918626.2345679,4235765.864197531,28042806.604938272,0.0,3046458.3024691357,22662248.395061728,중등
전북특별자치도교육청_공립_중등_결산_세입_2023.csv,772244725.5555556,3856957.592592593,31903736.111111112,0.0,4024219.685185185,17351078.66049383,중등
전북특별자치도교육청_공립_고등_결산_세입_2024.csv,2059026833.5384614,51148425.538461536,241934060.15384614,0.0,22640044.707692306,83019222.18461539,고등
초등_평균,877007873.7417172,11391856.189936863,85062861.26355734,0.0,3552430.0002174503,12770939.50193587,초등
중등_평균,804071467.2633744,4314939.923096708,33457007.113683123,0.0,4407039.983384774,15992780.031018518,중등
고등_평균,1953412245.794872,40903276.676923074,193278046.5025641,0.0,18925204.564102564,96443814.11794871,고등
