파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
전북특별자치도교육청_공립_초등_결산_세출_2024.csv,24690267.214457832,304072806.81445783,166455496.32048193,204219970.01204818,157720930.19036144,169391315.71566266,3766697.108433735,1448637.156626506,12432568.95230024,초등
전북특별자치도교육청_공립_초등_결산_세출_2022.csv,21461569.595238097,254403077.42619047,126775178.48095238,220183217.0,100651473.47142857,187022928.3857143,6458483.69047619,1631936.8333333333,11486769.352392346,초등
전북특별자치도교육청_공립_초등_결산_세출_2023.csv,22892158.558753,270516917.3405276,161591461.4652278,221282138.20623502,126537221.4148681,183375173.01678658,6540831.151079137,1272021.582733813,12393325.735491605,초등
전북특별자치도교육청_공립_고등_결산_세출_2024.csv,134548518.3846154,714721346.4,444422772.84615386,342435641.4307692,349527367.36923075,371631266.75384617,38907812.0,12912689.338461539,12052190.363076925,고등
전북특별자치도교육청_공립_중등_결산_세출_2023.csv,21562892.037037037,278687634.3765432,135832481.42592594,61860755.493827164,139665888.69135803,180357150.91358024,2337097.962962963,1174269.4444444445,12095784.658641975,중등
전북특별자치도교육청_공립_중등_결산_세출_2022.csv,20545040.679012347,256342515.5617284,126429149.19135803,70766409.87654321,114621086.60493827,178042039.58024693,6092828.8271604935,1704497.1604938272,9865143.971604938,중등
전북특별자치도교육청_공립_고등_결산_세출_2023.csv,61493063.307692304,742975662.0461539,366513089.5538462,336996544.9230769,321308871.46153843,371147232.16923076,15091158.615384616,16302248.63076923,11690331.655384615,고등
전북특별자치도교육청_공립_고등_결산_세출_2022.csv,47658619.07692308,740874850.6615385,303908798.46153843,300686880.61538464,263914477.30769232,359543099.3076923,15544367.384615384,17659369.846153848,10934748.724615384,고등
전북특별자치도교육청_공립_중등_결산_세출_2024.csv,56323276.625,308035695.5625,163225922.0125,71956320.0625,181641797.75,165984432.14375,9453187.8125,870136.125,12659156.640625,중등
초등_평균,23014665.12281631,276330933.8603919,151607378.75555405,215228441.73942772,128303208.35888605,179929805.70605454,5588670.649996354,1450865.190897884,12104221.346728064,초등
고등_평균,81233400.25641026,732857286.3692307,371614886.95384616,326706355.6564102,311583572.04615384,367440532.7435897,23181112.666666668,15624769.271794872,11559090.247692307,고등
중등_평균,32810403.11368313,281021948.5002572,141829184.209928,68194495.14429013,145309591.0154321,174794540.87919238,5961038.200874485,1249634.2433127572,11540028.423623972,중등
