파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급,학교 수
전북특별자치도교육청_공립_중등_예산_세입_2022.csv,69230602000.0,142177000.0,8085148000.0,0.0,298783000.0,1070122000.0,중등,162
전북특별자치도교육청_공립_중등_예산_세입_2023.csv,73595296000.0,211227000.0,8240855000.0,0.0,437821000.0,852842000.0,중등,162
전북특별자치도교육청_공립_중등_예산_세입_2024.csv,75832672000.0,196428000.0,8076230000.0,0.0,530334000.0,711538000.0,중등,160
전북특별자치도교육청_공립_고등_예산_세입_2024.csv,67902467000.0,1102341000.0,18447136000.0,0.0,726767000.0,1868305000.0,고등,65
전북특별자치도교육청_공립_고등_예산_세입_2023.csv,65824062000.0,1367438000.0,20622297000.0,0.0,622436000.0,2220707000.0,고등,65
전북특별자치도교육청_공립_고등_예산_세입_2022.csv,61771964000.0,1086380000.0,19037748000.0,0.0,494874000.0,2583636000.0,고등,65
전북특별자치도교육청_공립_초등_예산_세입_2024.csv,194578249000.0,2905870000.0,48128107000.0,0.0,1186890000.0,2173200000.0,초등,415
전북특별자치도교육청_공립_초등_예산_세입_2023.csv,190364335000.0,3255899000.0,51927552000.0,0.0,950362000.0,2116697000.0,초등,419
전북특별자치도교육청_공립_초등_예산_세입_2022.csv,172105429000.0,2742935000.0,52961416000.0,0.0,515904000.0,2808973000.0,초등,422
중등_평균,72874014454.54546,183222991.7355372,8134316706.61157,0.0,421866297.5206612,878855884.2975206,중등,484
고등_평균,65166164333.333336,1185386333.3333333,19369060333.333332,0.0,614692333.3333334,2224216000.0,고등,195
초등_평균,185621911415.6051,2967895144.10828,51019527265.12739,0.0,882541812.1019108,2367962300.1592355,초등,1256
전체_평균,145281419007.23514,2091734658.3979328,37103101961.7571,0.0,740320831.5245478,1981007243.9276485,전체,1935
