파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,학교급,학교 수
제주특별자치도교육청_공립_중등_결산_세입_2024.csv,74865711370.0,2177927730.0,2349950590.0,0.0,789545060.0,1213839910.0,중등,39
제주특별자치도교육청_공립_중등_결산_세입_2022.csv,55993936120.0,1306796620.0,1716384670.0,0.0,269306790.0,1266833240.0,중등,39
제주특별자치도교육청_공립_중등_결산_세입_2023.csv,68361091940.0,1651168380.0,2684203560.0,0.0,670690120.0,1338113290.0,중등,39
제주특별자치도교육청_공립_고등_결산_세입_2024.csv,72981146430.0,3188374730.0,4657782160.0,0.0,1280588980.0,1951082550.0,고등,21
제주특별자치도교육청_공립_고등_결산_세입_2023.csv,65764809380.0,2784580400.0,4788750210.0,0.0,1197864270.0,4012752510.0,고등,21
제주특별자치도교육청_공립_고등_결산_세입_2022.csv,59545518120.0,2401001310.0,3592350640.0,0.0,957717910.0,1380342070.0,고등,21
제주특별자치도교육청_공립_초등_결산_세입_2024.csv,184309824770.0,1598565680.0,8978156240.0,0.0,1037327462.0,3193577341.0,초등,118
제주특별자치도교육청_공립_초등_결산_세입_2022.csv,143155036520.0,1332863470.0,9197301640.0,0.0,400342774.0,8343761704.0,초등,114
제주특별자치도교육청_공립_초등_결산_세입_2023.csv,160343258490.0,1403614080.0,8066106220.0,0.0,949717492.0,6140290666.0,초등,114
중등_평균,66406913143.333336,1711964243.3333333,2250179606.6666665,0.0,576513990.0,1272928813.3333333,중등,117
고등_평균,66097157976.666664,2791318813.3333335,4346294336.666667,0.0,1145390386.6666667,2448059043.3333335,고등,63
초등_평균,162853655936.4162,1446789569.1907516,8749858186.01156,0.0,798588181.6184971,5861341319.127168,초등,346
전체_평균,129811967194.4867,1666810062.0722435,6776689143.631179,0.0,790728597.0152091,4431909671.688213,전체,526
