파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급,학교 수
충청남도교육청_공립_고등_예산_세출_2024.csv,4875809000.0,61765568000.0,30383974000.0,16180977000.0,9252474000.0,40199079000.0,565200000.0,178640000.0,453479799.6999999,고등,82
충청남도교육청_공립_고등_예산_세출_2023.csv,5055092000.0,61388917000.0,26113760000.0,15658564000.0,9413066000.0,35899308000.0,338198000.0,136524000.0,437672255.9,고등,82
충청남도교육청_공립_고등_예산_세출_2022.csv,4951613000.0,39590478000.0,19860884000.0,19494350000.0,12705225000.0,32597199000.0,320200000.0,140229000.0,390618613.6,고등,81
충청남도교육청_공립_중등_예산_세출_2024.csv,1887988000.0,45266818000.0,24499667000.0,11335445000.0,7804509000.0,32736320000.0,14814000.0,165894000.0,872526275.7,중등,144
충청남도교육청_공립_중등_예산_세출_2023.csv,1734824000.0,46519945000.0,24322079000.0,10695456000.0,9163011000.0,29157872000.0,19000000.0,158026000.0,881085583.2,중등,144
충청남도교육청_공립_중등_예산_세출_2022.csv,1477234000.0,19407908000.0,20066959000.0,9495404000.0,8977814000.0,27154493000.0,13960000.0,156413000.0,660764027.5,중등,144
충청남도교육청_공립_초등_예산_세출_2024.csv,5028735000.0,120929805000.0,51283163000.0,54093149000.0,19254976000.0,83403067000.0,10000000.0,510790000.0,3435462675.6000004,초등,421
충청남도교육청_공립_초등_예산_세출_2023.csv,4730551000.0,119935315000.0,52711543000.0,60809537000.0,22549673000.0,75431787000.0,38500000.0,747238000.0,3129758852.8999996,초등,419
충청남도교육청_공립_초등_예산_세출_2022.csv,4012436000.0,61618165000.0,41635658000.0,48837137000.0,20764680000.0,67791679000.0,40875000.0,344623000.0,2397392408.3,초등,420
고등_평균,4960875653.061225,54308148930.61224,25475697110.204082,17101570253.061224,10447744918.367348,36246697359.18367,408223820.40816325,151844885.7142857,427406433.717551,고등,245
중등_평균,1700015333.3333333,37064890333.333336,22962901666.666668,10508768333.333334,8648444666.666666,29682895000.0,15924666.666666666,160111000.0,804791962.1333333,중등,432
초등_평균,4590810653.968254,100828550944.44444,48542321031.74603,54574610533.333336,20853828161.11111,75548504079.36508,29769047.61904762,534029342.85714287,2987780601.0148416,초등,1260
전체_평균,3992897564.7909136,80723543263.81001,39919898715.5395,40007063450.69695,16815513208.053692,60348253295.30202,74549970.05678885,402295777.4909654,2177071895.292256,전체,1937
