뉴스 식별자,일자,언론사,제목,특성추출(가중치순 상위 50개),URL,대분류,중분류,소분류,세부항목 예시,뉴스 일반 표현,유사도
1100101.20230306,20230306,경향신문,삼시세끼를 학교에서 윤 정부 늘봄학교 최선 맞습니까,늘봄학교 전담사 교육청 교육부 시범운영 늘봄 돌봄 학부모 방과후 지자체 가정양육 전담사들 시범학교 아이들 온종일 전일제,https://www.khan.co.kr/national/education/article/202303060830011,선택적교육활동,방과후학교운영,늘봄학교운영,늘봄학교(교실)운영,"늘봄학교 운영, 돌봄교실 확장, 온종일 교육체계, 학교 중심 돌봄",0.8205351829528809
1100611.20230328,20230328,서울신문,돌봄 대기 1만 5000명 이용 제한 없는 보편적 돌봄 시급,전담사 늘봄학교 유럽 송기창 숙명여대 온종일 학부모 단국대 중앙대 장수정 맞벌이 최영 전담사들,http://www.seoul.co.kr/news/newsView.php?id=20230328003004,선택적교육활동,방과후학교운영,늘봄학교운영,늘봄전담인력운영,"늘봄교실 전담 인력, 학교 돌봄 전담자, 돌봄 인력 확충",0.8071287870407104
1100751.202303201,20230320,아시아투데이,학교폭력 멈춰 찾아가는 신학기 학교폭력 예방교육,학교폭력 밀양 밀양경찰서 전문가 경남 wee 5명 학교폭력예방교육 예방교육 고등학교 센터장 손경순 김정원 학생들 wee센터 교육장 중고등학교 아이들 지원청 스쿨폴리스 경찰서 학교 교육 학생 예방,https://www.asiatoday.co.kr/view.php?key=20230320010010604,교육활동지원,생활지도운영,학교폭력예방,학교폭력관련연수지원,"학교폭력 연수, 교사 연수 프로그램, 폭력 예방 교육",0.7875495553016663
1100201.202303091,20230309,국민일보,김포시 다문화 등 이주배경청소년 적응 지원,이주배경청소년 다문화 김포시 내국인 외국인 문화체험 한국어교육 김병수 아이들 한국 미래동력 사각지대 정서지원 사업추진 1억 한국어 중도입국 내국인포함 대한민국 이주배경청소년들 지원 적응 계획 이주 청소년 사업 국비 증가 주민 교육 추진 연계 체험,https://news.kmib.co.kr/article/view.asp?arcid=0018036592&code=61121111&cp=kd,학생복지/교육격차해소,교육격차해소,기타교육격차해소지원,다문화가정지원,"다문화가정 학생 지원, 다문화 교육 정책, 중도입국 학생",0.7854647636413574
1100101.202303122,20230312,경향신문,다문화 학생 70 수업 진행 버거운 교실,다문화 충남 1만 관계자 한국어 외국인 아산시 다국어 노동자 의사소통 러시아어 한국 아산테크노밸리 중앙아시아 둔포면 산업화 아산,https://www.khan.co.kr/national/education/article/202303122045015,선택적교육활동,기타선택적교육활동,다문화교육운영,다문화교육/학급운영,"다문화 학급 운영, 다문화 학생 교육, 다문화 통합 교육",0.7816051244735718
1100401.20230323,20230323,동아일보,학교 폭력 예방 교육 듣는 학생들,서울 지원청 경찰관 동대문구 학생들 교육 학교 학생 전담 대상 고교 주관 예방 폭력 설명 동부 진행,https://www.donga.com/news/Society/article/all/20230322/118474395/1,교육활동지원,생활지도운영,학교폭력예방,학교폭력관련연수지원,"학교폭력 연수, 교사 연수 프로그램, 폭력 예방 교육",0.7783636450767517
1100201.20230309,20230309,국민일보,기고 진정 아이들 안전한 밥상 위한다면,서울시 도농상생 식재료 공공급식 밥상 공공급식센터 아이들 운영비 학교급식 이용시설 어린이집 인건비 서울 김도윤 개편안 다품목 서대문구 만족도 농산물 국민일보,,학생복지/교육격차해소,급식관리,학교급식운영,급식재료구입비,"학교 급식, 급식 질, 친환경 식자재, 학교 식단",0.778331995010376
1100501.20230306,20230306,문화일보,대구교육청 교권 보호 강화 대책 마련,교육활동 사안별 대구교육청 대구시 위원회 긴급지원팀 학교교권 배상책임보험 전담제 병가 학부모 sns 사생활,http://www.munhwa.com/news/view.html?no=2023030601039927106001,인적자원운용,교직원복지및역량강화,교직원복지,교육활동보호지원,"교권 보호 정책, 교사 폭력 방지, 교사 보호법, 교육활동 안전 확보",0.7781262397766113
1100101.202303221,20230322,경향신문,아침부터 밤까지 운영하는 늘봄학교 시간제 인력으로 굴러갈까,전담사 늘봄학교 교육청 학비노조 근무자 박성식 강북노동자복지관 경북 전일제 교육부 김수정 학부모 박민아 전국교육공무직본부 협의회 임시인력 수요자 직본부 부위원장 서울 전담사들 단기간,https://www.khan.co.kr/national/education/article/202303221534001,선택적교육활동,방과후학교운영,늘봄학교운영,늘봄전담인력운영,"늘봄교실 전담 인력, 학교 돌봄 전담자, 돌봄 인력 확충",0.7764658331871033
1100301.202303161,20230316,내일신문,챗지피티 접목 청년인재 양성,교육과정 챗지피티 자격증 전성수 청년들 전문가 수강생 17주 보유여부 설문조사 1대 신청자 구인난 불균형 인재양성 360여명 서울 gpt chat 청년 교육,http://www.naeil.com/news_view/?id_art=454431,선택적교육활동,직업교육,직업교육운영,직업교육운영,"직업교육, 진로직업 교육, 기술교육 강화, 실무형 인재 양성",0.7753089070320129
